mac_type,layer_idx,value,count
attn_score,0,-58,1
attn_score,0,-56,4
attn_score,0,-54,10
attn_score,0,-52,56
attn_score,0,-50,202
attn_score,0,-48,599
attn_score,0,-46,2289
attn_score,0,-44,4753
attn_score,0,-42,9329
attn_score,0,-40,18671
attn_score,0,-38,31472
attn_score,0,-36,47030
attn_score,0,-34,66188
attn_score,0,-32,90412
attn_score,0,-30,117985
attn_score,0,-28,152105
attn_score,0,-26,197232
attn_score,0,-24,238044
attn_score,0,-22,285751
attn_score,0,-20,342008
attn_score,0,-18,412644
attn_score,0,-16,485792
attn_score,0,-14,575280
attn_score,0,-12,675503
attn_score,0,-10,762406
attn_score,0,-8,825922
attn_score,0,-6,889049
attn_score,0,-4,927892
attn_score,0,-2,960653
attn_score,0,0,957443
attn_score,0,2,945898
attn_score,0,4,943417
attn_score,0,6,940690
attn_score,0,8,932864
attn_score,0,10,950209
attn_score,0,12,956293
attn_score,0,14,968221
attn_score,0,16,979662
attn_score,0,18,1015573
attn_score,0,20,1051651
attn_score,0,22,1084672
attn_score,0,24,1054625
attn_score,0,26,988992
attn_score,0,28,872884
attn_score,0,30,731541
attn_score,0,32,579058
attn_score,0,34,406081
attn_score,0,36,285749
attn_score,0,38,170371
attn_score,0,40,106851
attn_score,0,42,56509
attn_score,0,44,29233
attn_score,0,46,14516
attn_score,0,48,7524
attn_score,0,50,3877
attn_score,0,52,2850
attn_score,0,54,1761
attn_score,0,56,1599
attn_score,0,58,2219
attn_score,0,60,2589
attn_score,0,62,893
attn_score,0,64,227
attn_score,1,-62,1
attn_score,1,-60,4
attn_score,1,-58,26
attn_score,1,-56,86
attn_score,1,-54,283
attn_score,1,-52,657
attn_score,1,-50,1516
attn_score,1,-48,3202
attn_score,1,-46,6273
attn_score,1,-44,10852
attn_score,1,-42,18469
attn_score,1,-40,28683
attn_score,1,-38,43390
attn_score,1,-36,64194
attn_score,1,-34,95732
attn_score,1,-32,142159
attn_score,1,-30,208930
attn_score,1,-28,289912
attn_score,1,-26,373526
attn_score,1,-24,419464
attn_score,1,-22,440044
attn_score,1,-20,432245
attn_score,1,-18,444484
attn_score,1,-16,491050
attn_score,1,-14,554348
attn_score,1,-12,639666
attn_score,1,-10,731373
attn_score,1,-8,818574
attn_score,1,-6,893632
