x,transform_mode,mac_types,acc,acc_mm,eval_loss
0.0,shift,ffn1,0.7602649006622516,0.7641375101708706,0.5878182614907768
0.1,shift,ffn1,0.7573102394294448,0.7608828315703824,0.6009699475347802
0.2,shift,ffn1,0.7536423841059603,0.754373474369406,0.6094319692991844
0.3,shift,ffn1,0.7420275089149261,0.7459316517493898,0.6292028838968821
0.4,shift,ffn1,0.7308201732042792,0.7421684296175752,0.6572507470118106
0.5,shift,ffn1,0.7116658176260825,0.7224369406021155,0.7042448401014268
0.6,shift,ffn1,0.6644931227712685,0.6760577705451587,0.8076348962923603
0.7,shift,ffn1,0.5667855323484463,0.5780105777054516,1.0247221170205636
0.8,shift,ffn1,0.44961793173713704,0.45077298616761596,1.2362945465195063
0.9,shift,ffn1,0.3744268976057056,0.37205044751830757,1.3745983247842384
1.0,shift,ffn1,0.35537442689760573,0.3540480065093572,1.3906746064995321
1.5,shift,ffn1,0.3544574630667346,0.3522172497965826,1.2384820097044158
2.0,shift,ffn1,0.34212939378502294,0.3495728234336859,1.1338058283934764
2.5,shift,ffn1,0.3544574630667346,0.35231895850284783,1.1298508259683169
3.0,shift,ffn1,0.3544574630667346,0.3522172497965826,1.1836611527573402
