x,transform_mode,mac_types,acc,acc_mm,eval_loss
0.0,shift,output_proj,0.7594498217014773,0.7628152969894223,0.5872759834077537
0.1,shift,output_proj,0.7589403973509934,0.7630187144019528,0.587281098267737
0.2,shift,output_proj,0.7595517065715741,0.7628152969894223,0.5868476848891582
0.3,shift,output_proj,0.7590422822210902,0.7630187144019528,0.5873381732583822
0.4,shift,output_proj,0.7590422822210902,0.7625101708706266,0.5875752212704198
0.5,shift,output_proj,0.7592460519612837,0.7629170056956875,0.5869680543578797
0.6,shift,output_proj,0.7593479368313806,0.7633238405207485,0.5874138497034579
0.7,shift,output_proj,0.7593479368313806,0.7633238405207485,0.5870491355317812
0.8,shift,output_proj,0.7592460519612837,0.7626118795768918,0.5870216015107469
0.9,shift,output_proj,0.7591441670911869,0.7630187144019528,0.5868386108585988
1.0,shift,output_proj,0.7590422822210902,0.763120423108218,0.5871015369697968
1.5,shift,output_proj,0.7593479368313806,0.763120423108218,0.5870107257016707
2.0,shift,output_proj,0.7587366276107997,0.7628152969894223,0.5876758543695612
2.5,shift,output_proj,0.7591441670911869,0.7632221318144833,0.5870835875503791
3.0,shift,output_proj,0.7593479368313806,0.7632221318144833,0.5867273100812582
